ZONE,SystemType,SystemName,StartX,StartY,EndX,EndY,PSize,Position,Critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,262759.003369,69351.128818,262759.003369,69926.094896,20,branch,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,262267.539357,69351.128818,262267.539357,70076.094896,20,branch,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,262697.985805,63151.128818,262697.985805,63829.171199,20,branch,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,262206.521793,63151.128818,262206.521793,63979.171199,20,branch,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,250232.644574,49047.871182,250232.644574,48630.406139,20,error,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,250724.108587,49047.871182,250724.108587,48480.406139,20,error,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,248241.267994,49476.128818,248241.267994,50328.966641,20,error,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,248732.732006,49476.128818,248732.732006,50178.966641,20,error,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,245332.732006,52598.871182,245332.732006,52175.183067,0,branch,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,275050.180711,63251.128818,275050.180711,66699.360492,20,branch,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,275200.180711,63541.405199,275200.180711,66849.360492,20,branch,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,248126.128818,90416.641315,248672.136361,90416.641315,20,error,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,248126.128818,90908.105328,248822.136361,90908.105328,20,error,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,230429.267994,93298.896581,231589.268171,93298.896581,20,branch,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,231739.268171,93764.855531,230920.732006,93764.855531,20,error,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,230897.68257,93988.766598,231589.268171,93988.766598,20,error,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,230429.267994,94419.696327,231739.268171,94419.696327,20,branch,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,57069.781831,78203.390245,56675.821333,78203.390245,20,error,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,56915.821333,77454.92522,56915.821333,78053.390245,20,error,non-critical
