ZONE,StartX,StartY,EndX,EndY,KesitX,KesitY,SystemName,Position,Critical
ZON-2,239975.000968,30564.511284,239975.000968,29955.432966,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,98545.206266,179009.496935,99614.200867,179009.496935,125,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,238975.000968,30564.511284,238975.000968,30005.432966,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,98205.733574,179497.630199,99614.200867,179497.630199,100,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,237975.000968,30564.511284,237975.000968,30005.432966,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,100140.259374,177692.721915,100140.259374,178809.496535,100,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,236564.410164,30403.922416,236564.410164,30055.432966,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,103625.000021,175679.436628,103625.000021,175486.650001,125,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,243429.304919,30173.108841,244124.315019,30173.108841,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,103320.880616,182634.119384,103320.880616,183145.965466,200,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,244874.651386,29476.638855,244874.651386,26765.011836,150,150,HVAC-S-AHU-B1-01-S-KNL,top,non-critical
ZON-4,104139.844814,183305.965466,103480.880616,183305.965466,200,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,239207.578552,35050.000968,239905.707564,35050.000968,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,109055.0,174200.0,109383.401404,174200.0,100,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,239207.578552,33950.0,239905.707564,33950.0,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,109493.401404,174090.0,109493.401404,173780.894145,100,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,239207.578552,32850.0,239970.707564,32850.0,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,109888.37938,176393.958082,110663.210926,176393.958082,100,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,240884.051358,33353.184793,240305.707564,33353.184793,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,110463.728903,178166.183799,112022.26234,178166.183799,100,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,240544.999606,35431.280976,240544.999606,37042.309608,150,150,HVAC-S-AHU-B1-01-S-KNL,downbranch,non-critical
