ZONE,StartX,StartY,EndX,EndY,KesitX,KesitY,SystemName,Position,Critical
ZON-1,40428.544982,122550.0,43606.805782,122550.0,300,200,HVAC-S-AHU-4-S-KNL,bottom,non-critical
ZON-1,40128.544982,122500.0,37365.528973,122500.0,400,200,HVAC-S-AHU-4-S-KNL,bottom,critical
ZON-1,39928.544982,123040.343294,39928.544982,122725.0,200,150,HVAC-S-AHU-4-S-KNL,downbranch,non-critical
ZON-1,37065.528973,122500.0,29065.528973,122500.0,400,300,HVAC-S-AHU-4-S-KNL,bottom,critical
ZON-1,37215.528973,122700.0,37215.528973,122300.0,300,200,HVAC-S-AHU-4-S-KNL,main,non-critical
ZON-1,29065.528973,122500.0,26007.711256,122500.0,400,300,HVAC-S-AHU-4-S-KNL,bottom,critical
ZON-1,25474.221,123040.343294,25474.221,122725.0,200,150,HVAC-S-AHU-4-S-KNL,downbranch,non-critical
ZON-1,25707.711256,122450.0,24162.5,122450.0,500,300,HVAC-S-AHU-4-S-KNL,bottom,critical
ZON-1,25813.405574,118046.810407,25813.405574,121168.901401,900,550,HVAC-R-AHU-4-R-KNL,bottom,non-critical
ZON-1,24794.694006,125116.875092,24794.694006,124000.0,900,550,HVAC-R-AHU-4-R-KNL,downbranch,critical
ZON-1,24162.5,122450.0,22236.362734,122450.0,500,300,HVAC-S-AHU-4-S-KNL,bottom,non-critical
ZON-1,21536.362734,130276.415212,21536.362734,127790.927347,200,200,HVAC-S-AHU-4-S-KNL,top,critical
ZON-1,21336.362734,130101.415212,19635.0,130101.415212,150,150,HVAC-S-AHU-4-S-KNL,main,non-critical
ZON-1,21561.362734,127494.589638,21561.362734,125235.308895,250,200,HVAC-S-AHU-4-S-KNL,main,critical
ZON-1,19223.575291,114134.496321,19223.575291,116975.0,150,150,HVAC-S-AHU-4-S-KNL,top,non-critical
ZON-1,19198.575291,117125.0,19198.575291,119324.495719,200,150,HVAC-S-AHU-4-S-KNL,main,critical
ZON-1,19198.575291,119324.495719,19198.575291,121975.0,200,150,HVAC-S-AHU-4-S-KNL,top,non-critical
ZON-1,13316.017087,122400.0,21786.362734,122400.0,650,300,HVAC-S-AHU-4-S-KNL,bottom,critical
ZON-1,42782.94908,117874.891407,42782.94908,119467.366227,900,550,HVAC-R-AHU-4-R-KNL,bottom,non-critical
ZON-1,42807.94908,119617.366227,42807.94908,123675.0,900,550,HVAC-R-AHU-4-R-KNL,bottom,critical
ZON-1,42782.94908,126481.629755,42782.94908,124050.0,900,550,HVAC-R-AHU-4-R-KNL,bottom,non-critical
ZON-1,43032.94908,123825.0,28023.017587,123825.0,900,550,HVAC-R-AHU-4-R-KNL,bottom,critical
ZON-1,31338.059677,124054.171912,31338.059677,124354.171912,900,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-1,26059.38696,123825.0,22548.402411,123825.0,900,550,HVAC-R-AHU-4-R-KNL,bottom,critical
ZON-1,26538.31386,121408.234924,25963.405574,121408.234924,900,550,HVAC-R-AHU-4-R-KNL,downbranch,non-critical
ZON-1,25813.405574,121168.901401,25813.405574,123650.0,900,550,HVAC-R-AHU-4-R-KNL,bottom,critical
ZON-1,22198.402411,129925.0,22198.402411,124075.0,900,550,HVAC-R-AHU-4-R-KNL,downbranch,non-critical
ZON-1,19879.73349,115745.84412,19879.73349,115273.11038,900,550,HVAC-R-AHU-4-R-KNL,main,critical
ZON-1,19879.73349,115745.84412,19879.73349,117625.0,900,550,HVAC-R-AHU-4-R-KNL,top,non-critical
ZON-1,19929.73349,117925.0,19929.73349,120933.66197,900,550,HVAC-R-AHU-4-R-KNL,main,critical
ZON-1,20907.105168,121258.66197,20154.73349,121258.66197,900,550,HVAC-R-AHU-4-R-KNL,main,non-critical
ZON-1,19929.73349,121083.66197,19929.73349,123575.0,900,550,HVAC-R-AHU-4-R-KNL,downbranch,critical
ZON-1,20054.73349,121008.66197,19804.73349,121008.66197,900,550,HVAC-R-AHU-4-R-KNL,top,non-critical
ZON-1,20304.73349,123825.0,22398.402411,123825.0,900,550,HVAC-R-AHU-4-R-KNL,bottom,critical
ZON-1,20154.73349,123825.0,6380.618356,123825.0,900,550,HVAC-R-AHU-4-R-KNL,bottom,non-critical
ZON-1,20229.73349,123625.0,20229.73349,124025.0,900,550,HVAC-R-AHU-4-R-KNL,main,critical
ZON-1,6070.618356,123515.0,6070.618356,117366.322736,900,550,HVAC-R-AHU-4-R-KNL,main,non-critical
ZON-1,3972.683158,117056.322736,5760.618356,117056.322736,900,550,HVAC-R-AHU-4-R-KNL,main,critical
ZON-1,13166.017087,122400.0,7492.682121,122400.0,650,350,HVAC-S-AHU-4-S-KNL,bottom,critical
ZON-1,19478.042364,127319.589638,17761.27415,127319.589638,150,150,HVAC-S-AHU-4-S-KNL,bottom,non-critical
ZON-1,21080.218442,127069.712497,21005.218442,126994.835355,150,150,HVAC-S-AHU-4-S-KNL,main,critical
ZON-1,21336.362734,127319.589638,20828.042364,127319.589638,150,150,HVAC-S-AHU-4-S-KNL,bottom,critical
ZON-1,19478.042364,127319.589638,20828.042364,127319.589638,150,150,HVAC-S-AHU-4-S-KNL,bottom,critical
ZON-1,20246.541886,125060.308895,21336.362734,125060.308895,150,150,HVAC-S-AHU-4-S-KNL,main,critical
ZON-1,21561.362734,125235.308895,21561.362734,122675.0,250,200,HVAC-S-AHU-4-S-KNL,downbranch,non-critical
ZON-1,41835.243516,117857.519998,43219.473774,117857.519998,150,150,HVAC-S-AHU-4-S-KNL,top,critical
ZON-1,4075.0,118381.322736,4899.750428,118381.322736,900,550,HVAC-R-AHU-14-R-KNL,main,non-critical
ZON-1,12159.471027,119350.0,12159.471027,121975.0,150,150,HVAC-S-AHU-4-S-KNL,main,critical
ZON-1,12890.528973,119350.0,12890.528973,121975.0,150,150,HVAC-S-AHU-4-S-KNL,main,non-critical
ZON-1,12159.471027,127050.0,12159.471027,122750.0,150,150,HVAC-S-AHU-4-S-KNL,downbranch,critical
ZON-1,12890.528973,127050.0,12890.528973,122750.0,150,150,HVAC-S-AHU-4-S-KNL,downbranch,non-critical
ZON-1,4940.528973,127050.0,4940.528973,124490.034738,150,150,HVAC-S-AHU-4-S-KNL,main,critical
ZON-1,7088.059677,124724.08432,7088.059677,124404.171912,900,550,HVAC-E-EF-L5-03-KNL,main,critical
ZON-1,7088.059677,121675.915681,7088.059677,124054.171912,900,550,HVAC-E-EF-L5-03-KNL,downbranch,critical
ZON-1,4890.528973,119350.0,4890.528973,120220.889068,150,150,HVAC-S-AHU-4-S-KNL,main,critical
ZON-1,14801.626326,124254.171912,18024.18787,124254.171912,900,550,HVAC-E-EF-L5-03-KNL,bottom,critical
ZON-1,14726.626326,124104.171912,14726.626326,124404.171912,900,550,HVAC-E-EF-L5-03-KNL,main,critical
ZON-1,18099.18787,124104.171912,18099.18787,124404.171912,900,550,HVAC-E-EF-L5-03-KNL,main,critical
ZON-1,18934.955047,123200.0,18590.218979,123200.0,200,150,HVAC-S-AHU-4-S-KNL,main,critical
ZON-1,18430.218979,123040.0,18430.218979,122749.484926,200,150,HVAC-S-AHU-4-S-KNL,downbranch,critical
ZON-1,6970.182121,121902.5,6970.182121,116691.322736,700,350,HVAC-S-AHU-4-S-KNL,bottom,critical
ZON-1,5025.528973,120355.889068,6595.182121,120355.889068,150,150,HVAC-S-AHU-4-S-KNL,downbranch,critical
ZON-1,6745.182121,124065.034738,6745.182121,122655.0,250,200,HVAC-S-AHU-4-S-KNL,bottom,critical
ZON-1,4715.528973,124265.034738,6545.182121,124265.034738,250,200,HVAC-S-AHU-4-S-KNL,bottom,critical
ZON-1,13241.017087,122725.0,13241.017087,122075.0,150,150,HVAC-S-AHU-4-S-KNL,main,non-critical
ZON-1,6655.182121,122085.0,6655.182121,121902.5,900,550,HVAC-S-AHU-4-S-KNL,bottom,critical
ZON-1,4122.683158,116156.322736,6435.182121,116156.322736,700,350,HVAC-S-AHU-4-S-KNL,top,non-critical
ZON-1,45752.643375,114550.024783,45752.643375,116601.272333,150,150,HVAC-S-AHU-4-S-KNL,main,critical
ZON-1,46678.714675,113519.114236,47528.714675,113519.114236,900,550,HVAC-R-FCU-R-KNL,main,critical
ZON-1,47103.714675,114090.939635,47103.714675,114474.729306,900,550,HVAC-R-FCU-R-KNL,main,critical
ZON-1,17992.771707,127952.105879,17118.089171,127952.105879,900,550,HVAC-S-FCU-S-KNL,main,critical
ZON-1,18503.771707,127952.105879,19446.995563,127952.105879,900,550,HVAC-R-FCU-R-KNL,main,critical
ZON-1,29116.258924,118903.542632,29966.258924,118903.542632,900,550,HVAC-S-FCU-S-KNL,main,non-critical
ZON-1,26293.287475,117532.992197,26293.287475,115679.044071,900,550,HVAC-R-AHU-4-R-KNL,main,critical
ZON-1,25938.405574,117874.901302,25738.405574,117874.901302,900,550,HVAC-R-AHU-4-R-KNL,main,non-critical
ZON-1,26065.846525,117592.992197,26065.846525,117792.992197,900,550,HVAC-R-AHU-4-R-KNL,main,critical
ZON-1,20014.73349,115138.11038,20723.271635,115138.11038,900,550,HVAC-R-AHU-4-R-KNL,main,non-critical
ZON-1,19048.575291,114267.068009,18304.59115,114267.068009,150,150,HVAC-S-AHU-4-S-KNL,main,critical
ZON-1,16646.742827,114258.522542,17296.742827,114258.522542,900,550,HVAC-S-FCU-S-KNL,main,critical
ZON-1,16971.742827,114835.596571,16971.742827,115533.146874,900,550,HVAC-R-FCU-R-KNL,main,critical
ZON-1,13116.258924,118903.542632,13966.258924,118903.542632,900,550,HVAC-S-FCU-S-KNL,main,non-critical
ZON-1,11933.741076,118903.542632,11083.741076,118903.542632,900,550,HVAC-S-FCU-S-KNL,main,critical
ZON-1,27873.017587,123825.0,26209.38696,123825.0,900,550,HVAC-R-AHU-4-R-KNL,bottom,non-critical
ZON-1,25900.0,126204.754225,25050.0,126204.754225,900,550,HVAC-S-FCU-S-KNL,main,critical
ZON-1,25900.0,125040.09552,25050.0,125040.09552,900,550,HVAC-R-FCU-R-KNL,main,non-critical
ZON-1,25325.0,127380.690715,25825.0,127380.690715,900,550,HVAC-E-EF-L5-03-KNL,main,critical
ZON-1,25190.0,126851.38143,23906.932521,126851.38143,900,550,HVAC-E-EF-L5-03-KNL,main,critical
ZON-1,70175.409821,115125.0,70175.409821,114875.0,900,550,HVAC-S-AHU-5-S-KNL,main,non-critical
ZON-1,70151.898468,112474.999993,70151.898468,112724.999993,900,550,HVAC-R-AHU-5-R-KNL,main,non-critical
ZON-1,69988.531095,115672.11028,66645.971912,115672.11028,250,200,HVAC-S-AHU-5-S-KNL,main,critical
ZON-1,70595.81965,115261.05514,70345.81965,115261.05514,900,550,HVAC-S-AHU-5-S-KNL,main,non-critical
ZON-1,70288.531095,115622.11028,71969.69543,115622.11028,350,250,HVAC-S-AHU-5-S-KNL,main,critical
ZON-1,72519.69543,113852.983297,74133.015387,113852.983297,350,250,HVAC-S-AHU-5-S-KNL,downbranch,non-critical
ZON-1,72244.69543,115347.11028,72244.69543,114127.983297,350,250,HVAC-S-AHU-5-S-KNL,main,critical
ZON-1,66437.59879,111887.800565,69736.459107,111888.058063,900,550,HVAC-R-AHU-5-R-KNL,main,critical
ZON-1,70548.796936,112318.900279,70298.796936,112318.900279,900,550,HVAC-R-AHU-5-R-KNL,main,critical
ZON-1,70036.459107,111938.058063,73065.074358,111938.058063,900,550,HVAC-R-AHU-5-R-KNL,main,critical
ZON-1,65820.0,110599.999993,65411.084788,110599.999993,200,150,HVAC-S-AHU-5-S-KNL,main,critical
ZON-1,73925.0,118654.999993,73925.0,118862.031587,900,550,HVAC-R-AHU-5-R-KNL,main,critical
ZON-1,74808.015387,114920.091387,76157.431617,114920.091387,150,150,HVAC-S-AHU-5-S-KNL,main,critical
ZON-1,72738.509217,117152.556574,73804.889221,117152.556574,900,550,HVAC-E-EF-L5-03-KNL,downbranch,non-critical
ZON-1,69802.998698,118608.493147,69802.998698,117509.999993,150,150,HVAC-S-AHU-5-S-KNL,main,critical
ZON-1,70241.007738,118999.999993,70027.998698,118999.999993,150,150,HVAC-S-AHU-5-S-KNL,main,non-critical
ZON-1,63619.256658,122703.688866,62568.410085,122703.688866,200,150,HVAC-S-AHU-5-S-KNL,main,critical
ZON-1,59027.985765,122710.088215,61968.410085,122710.088215,200,150,HVAC-S-AHU-5-S-KNL,main,non-critical
ZON-1,61325.0,126494.999993,61325.0,126234.666801,200,150,HVAC-S-AHU-5-S-KNL,main,critical
ZON-1,61425.0,120921.378925,61225.0,120921.378925,900,550,HVAC-S-AHU-5-S-KNL,main,non-critical
ZON-1,51779.738335,123396.420662,51974.873252,123396.420662,900,550,HVAC-R-AHU-5-R-KNL,main,critical
ZON-1,70870.0,123396.420662,69556.461381,123396.420662,900,550,HVAC-R-AHU-5-R-KNL,main,non-critical
ZON-1,61328.170363,131945.617698,61328.170363,131722.068127,900,550,HVAC-R-AHU-5-R-KNL,main,critical
ZON-1,60720.0,113549.999993,60518.90222,113549.999993,900,550,HVAC-R-AHU-5-R-KNL,downbranch,non-critical
ZON-1,65616.972873,125200.586212,65616.972873,124789.207366,900,550,HVAC-R-AHU-5-R-KNL,main,critical
ZON-1,51620.0,126925.0,49140.668467,126925.0,200,150,HVAC-S-AHU-5-S-KNL,main,non-critical
ZON-1,57880.0,126924.999993,59926.925563,126925.0,900,550,HVAC-R-AHU-5-R-KNL,main,critical
ZON-1,54274.998143,111994.999993,54274.998143,111237.177716,900,550,HVAC-R-AHU-5-R-KNL,main,non-critical
ZON-1,50683.113513,112032.757492,50683.113513,110326.913927,200,150,HVAC-S-AHU-5-S-KNL,main,critical
ZON-1,50132.5,116774.999993,48390.151187,116774.999993,200,200,HVAC-S-AHU-5-S-KNL,main,non-critical
ZON-1,56385.48876,113827.786642,56385.48876,110326.913927,200,150,HVAC-S-AHU-5-S-KNL,top,critical
ZON-1,55238.271254,110500.0,55238.271254,110700.0,900,550,HVAC-S-AHU-5-S-KNL,main,non-critical
ZON-1,48725.0,118654.999993,48725.0,124257.882931,900,550,HVAC-R-AHU-5-R-KNL,main,critical
ZON-1,63044.999993,129075.0,62453.410085,129075.0,200,150,HVAC-S-AHU-5-S-KNL,main,non-critical
ZON-1,62476.760989,130134.878648,67240.0,130134.878648,900,550,HVAC-E-EF-L5-03-KNL,main,critical
ZON-1,71280.0,126300.812931,74333.015387,126300.812931,150,150,HVAC-S-AHU-5-S-KNL,downbranch,non-critical
ZON-1,72025.0,133955.0,72025.0,134929.362149,150,150,HVAC-S-AHU-5-S-KNL,main,critical
