pX,pY,Size,System
240583.935617,43020.961756,75,-M- SIPHONIC STORM WATER DN
241787.571889,35682.211318,56,-M- SIPHONIC STORM WATER DN
241220.485937,35276.853585,75,-M- SIPHONIC STORM WATER DN
240583.935647,35276.853585,75,-M- SIPHONIC STORM WATER DN
240238.074254,39127.24025,110,-M- SIPHONIC STORM WATER DN
240238.074254,32939.080333,160,-M- SIPHONIC STORM WATER DN
245121.19007,30646.036401,50,-M- SIPHONIC STORM WATER DN
250136.265224,29630.093643,50,-M- SIPHONIC STORM WATER DN
240238.074254,29030.980203,160,-M- SIPHONIC STORM WATER DN
240238.074254,20308.047786,110,-M- SIPHONIC STORM WATER DN
239309.452753,21214.039399,50,-M- SIPHONIC STORM WATER DN
239926.18743,21214.039399,50,-M- SIPHONIC STORM WATER DN
240238.074254,22330.085094,160,-M- SIPHONIC STORM WATER DN
240238.074254,16662.396024,110,-M- SIPHONIC STORM WATER DN
243426.494035,13363.890893,110,-M- SIPHONIC STORM WATER DN
247063.560305,13851.758167,110,-M- SIPHONIC STORM WATER DN
247126.060305,14303.891121,90,-M- SIPHONIC STORM WATER DN
221691.610205,80290.0,56,-M- SIPHONIC STORM WATER DN
222367.853344,77400.531946,56,-M- SIPHONIC STORM WATER DN
225962.092536,74066.6739,56,-M- SIPHONIC STORM WATER DN
229209.292773,79221.33026,56,-M- SIPHONIC STORM WATER DN
229209.292773,67203.526886,56,-M- SIPHONIC STORM WATER DN
234387.916754,74066.6739,56,-M- SIPHONIC STORM WATER DN
246770.453312,74066.6739,50,-M- SIPHONIC STORM WATER DN
256612.83312,74066.6739,50,-M- SIPHONIC STORM WATER DN
260364.770383,77178.33695,50,-M- SIPHONIC STORM WATER DN
253354.727547,79323.713979,50,-M- SIPHONIC STORM WATER DN
240538.074254,71979.362248,63,-M- SIPHONIC STORM WATER DN
240538.074254,61153.523504,63,-M- SIPHONIC STORM WATER DN
238940.0,57508.920085,63,-M- SIPHONIC STORM WATER DN
192675.0,73152.792978,110,-M- SIPHONIC STORM WATER DN
197536.578027,73766.6739,160,-M- SIPHONIC STORM WATER DN
194099.822802,73766.6739,125,-M- SIPHONIC STORM WATER DN
194956.81912,70346.95205,63,-M- SIPHONIC STORM WATER DN
194956.81912,72099.331519,63,-M- SIPHONIC STORM WATER DN
203941.334866,73766.6739,160,-M- SIPHONIC STORM WATER DN
199346.917122,77837.297195,50,-M- SIPHONIC STORM WATER DN
210989.068121,73766.6739,160,-M- SIPHONIC STORM WATER DN
219922.313856,73766.6739,160,-M- SIPHONIC STORM WATER DN
225977.079179,73766.6739,160,-M- SIPHONIC STORM WATER DN
221573.199683,64690.0,50,-M- SIPHONIC STORM WATER DN
221905.090261,68669.315467,50,-M- SIPHONIC STORM WATER DN
234376.744211,73766.6739,160,-M- SIPHONIC STORM WATER DN
240238.074254,71979.362248,160,-M- SIPHONIC STORM WATER DN
240238.074254,61153.523504,160,-M- SIPHONIC STORM WATER DN
238687.5,58025.0,110,-M- SIPHONIC STORM WATER DN
